iter	Passed	Remaining
0	5	522
1	9	483
2	14	461
3	18	432
4	22	432
5	27	423
6	31	420
7	37	426
8	41	420
9	46	414
10	49	397
11	51	378
12	54	361
13	55	342
14	57	325
15	58	309
16	60	295
17	61	281
18	62	268
19	64	256
20	65	246
21	66	236
22	67	226
23	68	217
24	69	208
25	70	200
26	71	193
27	72	186
28	73	179
29	74	173
30	75	167
31	76	161
32	76	156
33	77	151
34	78	146
35	79	141
36	80	136
37	81	132
38	81	127
39	82	123
40	83	119
41	83	115
42	84	111
43	84	107
44	85	104
45	86	101
46	86	98
47	87	95
48	88	92
49	89	89
50	89	86
51	90	83
52	91	81
53	92	78
54	92	75
55	93	73
56	94	71
57	95	69
58	96	67
59	97	64
60	98	62
61	99	60
62	99	58
63	100	56
64	101	54
65	101	52
66	102	50
67	103	48
68	103	46
69	104	44
70	105	43
71	106	41
72	106	39
73	107	37
74	108	36
75	109	34
76	109	32
77	110	31
78	111	29
79	111	27
80	112	26
81	113	24
82	113	23
83	114	21
84	115	20
85	115	18
86	116	17
87	117	15
88	117	14
89	118	13
90	119	11
91	120	10
92	121	9
93	122	7
94	122	6
95	123	5
96	124	3
97	124	2
98	125	1
99	126	0
